country,year,gender,age,share_first_quintile_inc,share_second_quintile_inc,share_third_quintile_inc,share_fourth_quintile_inc,share_fifth_quintile_inc,share_bottom50_inc,share_top10_pct_inc,share_top5_pct_inc,share_top1_pct_inc,share_top0_5_pct_inc,share_top0_1_pct_inc,share_top0_01_pct_inc,gini_coefficient,Pareto_tail_index_5pct,Pareto_tail_index_1pct,nobs_log_inc,mean_log_inc,std_log_inc,kelley_log_inc,crows_log_inc,p1_log_inc,p2_5_log_inc,p5_log_inc,p10_log_inc,p12_5_log_inc,p25_log_inc,p37_5_log_inc,p50_log_inc,p62_5_log_inc,p75_log_inc,p87_5_log_inc,p90_log_inc,p95_log_inc,p97_5_log_inc,p99_log_inc,p99_9_log_inc,p99_99_log_inc,p9010_log_inc,p9050_log_inc,p5010_log_inc,nobs_res_log_inc,mean_res_log_inc,std_res_log_inc,kelley_res_log_inc,crows_res_log_inc,p1_res_log_inc,p2_5_res_log_inc,p5_res_log_inc,p10_res_log_inc,p12_5_res_log_inc,p25_res_log_inc,p37_5_res_log_inc,p50_res_log_inc,p62_5_res_log_inc,p75_res_log_inc,p87_5_res_log_inc,p90_res_log_inc,p95_res_log_inc,p97_5_res_log_inc,p99_res_log_inc,p99_9_res_log_inc,p99_99_res_log_inc,p9010_res_log_inc,p9050_res_log_inc,p5010_res_log_inc,autocorr_lag1_res_log_inc,autocorr_lag2_res_log_inc,autocorr_lag3_res_log_inc,autocorr_lag4_res_log_inc,autocorr_lag5_res_log_inc,nobs_log_perm_inc,mean_log_perm_inc,std_log_perm_inc,kelley_log_perm_inc,crows_log_perm_inc,p1_log_perm_inc,p2_5_log_perm_inc,p5_log_perm_inc,p10_log_perm_inc,p12_5_log_perm_inc,p25_log_perm_inc,p37_5_log_perm_inc,p50_log_perm_inc,p62_5_log_perm_inc,p75_log_perm_inc,p87_5_log_perm_inc,p90_log_perm_inc,p95_log_perm_inc,p97_5_log_perm_inc,p99_log_perm_inc,p99_9_log_perm_inc,p99_99_log_perm_inc,p9010_log_perm_inc,p9050_log_perm_inc,p5010_log_perm_inc,nobs_res_1yr_log_chg,mean_res_1yr_log_chg,std_res_1yr_log_chg,skew_res_1yr_log_chg,kurt_res_1yr_log_chg,kelley_res_1yr_log_chg,crows_res_1yr_log_chg,p1_res_1yr_log_chg,p2_5_res_1yr_log_chg,p5_res_1yr_log_chg,p10_res_1yr_log_chg,p12_5_res_1yr_log_chg,p25_res_1yr_log_chg,p37_5_res_1yr_log_chg,p50_res_1yr_log_chg,p62_5_res_1yr_log_chg,p75_res_1yr_log_chg,p87_5_res_1yr_log_chg,p90_res_1yr_log_chg,p95_res_1yr_log_chg,p97_5_res_1yr_log_chg,p99_res_1yr_log_chg,p99_9_res_1yr_log_chg,p99_99_res_1yr_log_chg,p9010_res_1yr_log_chg,p9050_res_1yr_log_chg,p5010_res_1yr_log_chg,autocorr_lag1_res_1yr_log_chg,autocorr_lag2_res_1yr_log_chg,autocorr_lag3_res_1yr_log_chg,autocorr_lag4_res_1yr_log_chg,autocorr_lag5_res_1yr_log_chg,nobs_res_5yr_log_chg,mean_res_5yr_log_chg,std_res_5yr_log_chg,skew_res_5yr_log_chg,kurt_res_5yr_log_chg,kelley_res_5yr_log_chg,crows_res_5yr_log_chg,p1_res_5yr_log_chg,p2_5_res_5yr_log_chg,p5_res_5yr_log_chg,p10_res_5yr_log_chg,p12_5_res_5yr_log_chg,p25_res_5yr_log_chg,p37_5_res_5yr_log_chg,p50_res_5yr_log_chg,p62_5_res_5yr_log_chg,p75_res_5yr_log_chg,p87_5_res_5yr_log_chg,p90_res_5yr_log_chg,p95_res_5yr_log_chg,p97_5_res_5yr_log_chg,p99_res_5yr_log_chg,p99_9_res_5yr_log_chg,p99_99_res_5yr_log_chg,p9010_res_5yr_log_chg,p9050_res_5yr_log_chg,p5010_res_5yr_log_chg
ITA,1985,All genders,25-55,6.1214991,15.348463,21.502586,23.780657,36.754204,30.427357,22.241234,13.728073,4.396946,2.6087656,0.72861022,0.19241974,0.29607016,-3.5307503,-3.9988215,614048.0,9.8205051,0.76262891,-0.39911538,5.6909213,7.167788,7.6377912,8.1974068,8.8164463,9.024086,9.6526947,9.8890829,9.9891663,10.10164,10.22179,10.42588,10.49282,10.67034,10.87647,11.22131,11.81793,12.17709,1.6763735,0.50365353,1.17272,614048.0,-0.000000000197,0.73115462,-0.40600973,5.1483755,-2.6472809,-2.0556109,-1.537251,-0.93947428,-0.73549068,-0.17000531,0.027261,0.16612931,0.29006609,0.4188118,0.58420658,0.63320839,0.79437947,0.97584081,1.239295,1.815102,2.1943691,1.5726826,0.4670791,1.1056036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547335.0,-0.0109253,0.44454989,0.2019341,20.371149,0.071821727,16.905073,-1.637803,-1.028194,-0.56220961,-0.2278174,-0.1642188,-0.071564101,-0.041018501,-0.017432701,0.0088975001,0.048790298,0.1630718,0.22551081,0.54345417,1.0064059,1.585266,2.9152839,4.338438,0.45332819,0.24294351,0.2103847,,,,,,406141.0,0.016884601,0.54990441,0.70359182,15.81024,0.2046556,9.5336752,-1.763239,-1.125128,-0.66216958,-0.32601619,-0.2604928,-0.1353125,-0.074659303,-0.022221601,0.036074299,0.1253188,0.34216729,0.43791601,0.84278268,1.359646,2.010669,3.828232,4.4973202,0.76393223,0.46013761,0.30379459
ITA,1986,All genders,25-55,6.0470195,15.815811,20.123407,24.438602,36.877972,31.571682,22.72603,14.112843,4.5596037,2.6952031,0.74695921,0.25329629,0.29912445,-3.4274464,-3.9036653,615126.0,9.8294373,0.75727421,-0.40252638,5.6542158,7.1111851,7.6989708,8.2097969,8.833951,9.0570946,9.6606302,9.8837738,10.00156,10.09687,10.22913,10.43622,10.49896,10.68353,10.91339,11.26065,11.8665,12.16488,1.6650085,0.49739933,1.1676092,615126.0,-0.000000000532,0.72143978,-0.39230388,5.1495075,-2.6133089,-2.05036,-1.518731,-0.92447948,-0.71427763,-0.17575391,0.0154919,0.1576806,0.28583539,0.41347429,0.57830238,0.63000888,0.79818207,0.98387498,1.259372,1.845274,2.1646659,1.5544884,0.47232828,1.0821601,0.67881435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530764.0,0.0042641,0.4395912,-0.096506096,18.50024,0.057834938,15.843837,-1.61062,-1.009992,-0.55045962,-0.2182451,-0.1557072,-0.058023501,-0.026555501,-0.0018768,0.0262948,0.070841499,0.1785524,0.2410551,0.5676555,1.031724,1.592307,2.65185,4.1515141,0.45930022,0.2429319,0.2163683,,,,,,409462.0,0.0218515,0.54544628,0.41134071,13.82483,0.15508848,9.1371403,-1.777161,-1.149892,-0.68425089,-0.34262139,-0.27157751,-0.1320489,-0.066180199,-0.0094128,0.053123601,0.1439437,0.35140491,0.44612059,0.85612428,1.371891,1.987083,3.2425981,4.4299412,0.78874195,0.45553339,0.33320859
ITA,1987,All genders,25-55,5.7585115,15.589934,19.799335,23.34642,38.320484,30.306957,23.647675,14.735815,4.7965779,2.8317726,0.77714419,0.37181091,0.31400299,-3.2989154,-3.7255571,602382.0,9.8566027,0.77395189,-0.38891584,5.2737741,7.2471261,7.7579522,8.2279549,8.8226624,9.0107145,9.660059,9.8980179,10.03008,10.1375,10.27565,10.49232,10.56131,10.76857,11.00444,11.35526,11.98332,12.18758,1.7386475,0.53122997,1.2074175,602382.0,-0.000000000032499999,0.73426628,-0.37458849,4.9394159,-2.59234,-2.0499279,-1.5333101,-0.96059859,-0.75704598,-0.2010019,0.0072385999,0.15598319,0.28974909,0.42569569,0.60883552,0.66400659,0.84395528,1.045592,1.311952,1.916443,2.263386,1.6246052,0.50802338,1.1165818,0.67764741,0.61219633,,,,542763.0,0.00000000027300001,0.56575972,-0.24916691,4.5002809,-1.918486,-1.4709589,-1.095342,-0.68865699,-0.5581935,-0.2065772,-0.041621398,0.084778599,0.20094091,0.32425389,0.495653,0.54966527,0.72297168,0.91793001,1.200883,1.755179,2.039129,1.2383223,0.46488667,0.77343559,528637.0,0.0036889,0.43941361,0.0196505,17.42831,0.1632559,15.683056,-1.593102,-0.99820971,-0.54210317,-0.20948499,-0.15126631,-0.066973299,-0.036915999,-0.0120692,0.0175281,0.064576998,0.193728,0.26238161,0.60491991,1.064901,1.60334,2.617722,3.826658,0.47186661,0.27445081,0.1974158,-0.17792813,,,,,411135.0,0.0075735999,0.55569983,0.1585988,13.23024,0.10444976,9.2572546,-1.866251,-1.2430249,-0.75188571,-0.3821972,-0.30023301,-0.14087901,-0.0707267,-0.0132714,0.0494528,0.1394096,0.34653959,0.44171149,0.84913421,1.351678,1.9428281,3.1660631,4.36902,0.82390869,0.45498288,0.36892581
ITA,1988,All genders,25-55,5.8346124,14.978685,18.886425,23.999147,38.776257,29.401377,23.910599,15.008057,4.8405161,2.8517745,0.77003092,0.3172186,0.31891143,-3.3510268,-3.9162018,605122.0,9.8782434,0.77545631,-0.36961362,5.2630367,7.1977811,7.7086072,8.2392349,8.8400087,9.0436077,9.6687012,9.9058313,10.04075,10.15961,10.30386,10.52402,10.59341,10.79965,11.05147,11.39498,12.00317,12.21396,1.7534008,0.55265999,1.2007408,605122.0,-0.00000000027700001,0.73192501,-0.35689652,4.8056993,-2.551203,-2.0306151,-1.526475,-0.95061707,-0.74991512,-0.2136867,-0.002136,0.1511424,0.28764471,0.42839429,0.6165415,0.67332321,0.85733539,1.055033,1.319059,1.902467,2.1241241,1.6239402,0.5221808,1.1017594,0.68037075,0.61180526,0.57294023,,,542019.0,-0.00000000071700001,0.56990921,-0.23252767,4.4125047,-1.907614,-1.464872,-1.097795,-0.69681388,-0.56560868,-0.2179421,-0.049885299,0.080487996,0.20023599,0.32878461,0.50866789,0.56449962,0.74545968,0.94756222,1.227501,1.785603,2.0401831,1.2613134,0.48401162,0.77730191,537793.0,-0.001295,0.43755639,0.1509231,16.9125,0.135149,15.216131,-1.571056,-0.99360019,-0.5424149,-0.22522239,-0.16546731,-0.075946704,-0.0422724,-0.016623501,0.0131775,0.059774801,0.1871106,0.25717029,0.59659278,1.071556,1.622798,2.6062541,3.7838931,0.48239267,0.27379379,0.2085989,-0.18759502,-0.047621474,,,,409926.0,-0.0166841,0.55761981,-0.043654501,12.95709,0.0051855985,9.8412342,-1.9615541,-1.3284039,-0.82178468,-0.4312067,-0.33661351,-0.14838199,-0.072518602,-0.0179152,0.038920801,0.1180357,0.31027511,0.399685,0.78764552,1.293475,1.891035,3.0467501,4.5443602,0.83089173,0.41760018,0.41329151
ITA,1989,All genders,25-55,5.8408003,15.018914,18.782598,23.728109,38.909077,29.599455,24.024319,15.118476,4.9213462,2.9027126,0.78151429,0.40530956,0.31929985,-3.7886767,-5.2622123,618846.0,9.8986425,0.76395929,-0.34839904,5.2391934,7.291214,7.8302112,8.2897434,8.871665,9.0829744,9.702013,9.9096527,10.04578,10.16559,10.32204,10.5438,10.61316,10.82594,11.07865,11.41835,12.05217,12.2226,1.7414951,0.56737995,1.1741152,618846.0,-0.00000000103,0.71945387,-0.34744397,4.7994237,-2.494457,-1.999229,-1.510036,-0.933873,-0.73102891,-0.2158417,-0.0076124999,0.1447278,0.28030789,0.41927499,0.60786593,0.66708529,0.85328799,1.048965,1.321359,1.912235,2.105479,1.6009583,0.52235746,1.0786008,0.67803508,0.62335235,0.58005577,0.54956824,,551568.0,-0.000000000195,0.56715947,-0.20960963,4.3472123,-1.871828,-1.438959,-1.082412,-0.68544608,-0.56144691,-0.2263301,-0.056425001,0.074118502,0.1954558,0.3260923,0.51286632,0.57043773,0.75606418,0.96253842,1.243769,1.801084,2.0255761,1.2558838,0.49631923,0.75956458,550839.0,0.013256,0.44124439,0.046333499,16.266991,0.091958456,15.590623,-1.592083,-1.0190181,-0.55147529,-0.2139466,-0.1520949,-0.056489099,-0.024920801,0.0020186,0.034440301,0.079246402,0.1945256,0.2617259,0.6087907,1.097183,1.643919,2.6118231,3.4149439,0.47567248,0.2597073,0.2159652,-0.18899186,-0.057531342,-0.017141715,,,415623.0,-0.021846799,0.54948509,-0.2498053,12.86819,-0.05545453,10.277883,-1.978736,-1.3607759,-0.85338688,-0.44099501,-0.33526379,-0.1368953,-0.063686699,-0.0120083,0.041611802,0.1157657,0.2899265,0.37189969,0.73860443,1.236044,1.830564,2.9268601,4.1592212,0.8128947,0.383908,0.4289867
ITA,1990,All genders,25-55,5.7172222,14.20027,19.488705,23.421265,39.170952,28.934986,24.574507,15.383999,4.9551854,2.932539,0.78554893,0.410763,0.32772675,-3.3160484,-3.7712846,639140.0,9.9028025,0.77724451,-0.33911005,5.1574802,7.3621788,7.7676439,8.2784691,8.8662558,9.066927,9.689456,9.9077101,10.05342,10.18058,10.33898,10.571,10.63932,10.86247,11.11755,11.45025,12.07058,12.23738,1.7730646,0.58590031,1.1871643,639140.0,0.00000000042199999,0.73357868,-0.33806604,4.6702986,-2.532012,-2.019033,-1.536809,-0.95961517,-0.76088291,-0.2301016,-0.0134307,0.1471073,0.2872248,0.43304551,0.63492298,0.69459689,0.88140321,1.0780621,1.3378299,1.910007,2.101697,1.654212,0.54748958,1.1067225,0.6711514,0.62105244,0.5864988,0.55319208,0.5323084,565135.0,0.000000000454,0.56575072,-0.19169717,4.2729311,-1.857905,-1.422447,-1.06812,-0.68182379,-0.56168658,-0.2337552,-0.063177601,0.068671897,0.19309629,0.32697621,0.51966649,0.57771713,0.76568758,0.97351968,1.245887,1.801785,2.004092,1.2595409,0.50904524,0.75049567,568433.0,-0.0002949,0.44551349,-0.0197728,15.23323,0.016683914,14.966741,-1.61412,-1.060346,-0.60141373,-0.25528741,-0.183203,-0.071708001,-0.0343218,-0.0043176999,0.027315799,0.071638301,0.18975949,0.25516841,0.61438292,1.085081,1.60732,2.5837879,3.2617381,0.51045585,0.25948611,0.25096971,-0.18606398,-0.043533593,-0.016130129,-0.013605958,,425855.0,-0.023910001,0.54001731,-0.1211272,12.24524,-0.010019291,10.187711,-1.9284329,-1.3324161,-0.83894747,-0.42426541,-0.32453951,-0.1451229,-0.074356601,-0.021641601,0.032483701,0.1078085,0.28675541,0.37299421,0.75246662,1.2443759,1.822994,2.869118,3.8095579,0.79725963,0.39463583,0.4026238
ITA,1991,All genders,25-55,5.552372,14.190427,19.129263,23.444941,39.439297,28.367279,24.598257,15.497923,4.9498668,2.9001136,0.77070212,0.36186665,0.33081269,-3.3837378,-4.0174136,651275.0,9.9345465,0.78120941,-0.33527714,5.0344706,7.3015542,7.7870622,8.3131552,8.8856745,9.0933132,9.7107487,9.9316425,10.08192,10.21933,10.38117,10.60661,10.67743,10.89887,11.16228,11.50063,12.08592,12.26265,1.7917557,0.59551048,1.1962452,651275.0,-0.000000000041199998,0.73960829,-0.32683152,4.5947351,-2.529978,-2.028667,-1.543103,-0.96347779,-0.76645792,-0.2386588,-0.0160701,0.14480589,0.2877281,0.4397313,0.64752871,0.70709401,0.89383823,1.088356,1.35568,1.903277,2.1248591,1.6705718,0.56228811,1.1082836,0.68051428,0.62248862,0.59134907,0.56710315,0.53888679,583671.0,-0.00000000053400001,0.57110238,-0.18584137,4.1707339,-1.853398,-1.420825,-1.073222,-0.69367188,-0.57415313,-0.2425831,-0.068505101,0.068077102,0.19517051,0.33413139,0.53274113,0.59106821,0.77637118,0.98449773,1.256709,1.796569,2.0016229,1.2847401,0.52299112,0.76174897,575421.0,-0.0115195,0.4483479,-0.27850369,15.32283,-0.037915863,15.716728,-1.676348,-1.112849,-0.64212823,-0.27855799,-0.1958909,-0.0723636,-0.035296001,-0.0078397999,0.022198901,0.064893402,0.1775991,0.2430993,0.58506149,1.044382,1.5712579,2.5434129,3.317946,0.52165729,0.2509391,0.27071819,-0.18776202,-0.05201738,-0.014948298,-0.011540159,-0.0062014102,435490.0,-0.023229999,0.53572369,-0.1904254,12.53238,-0.013799469,9.9791803,-1.903617,-1.324458,-0.83153403,-0.42292801,-0.32405761,-0.1437614,-0.072906502,-0.019148501,0.035443399,0.1106176,0.28843519,0.37363881,0.74052519,1.214036,1.786942,2.8552799,3.8629341,0.79656684,0.39278731,0.40377951
ITA,1992,All genders,25-55,5.5477781,14.370111,18.405764,23.378613,39.999798,28.284142,25.004091,15.732978,5.0468302,2.9541421,0.77803284,0.40526599,0.33479252,-3.9143517,-5.6284146,655730.0,9.9284821,0.78254467,-0.30667484,4.9322348,7.3679729,7.8098059,8.3062429,8.9084187,9.0827713,9.6925373,9.9243393,10.06859,10.20119,10.37475,10.60883,10.68418,10.91375,11.17464,11.50934,12.10612,12.25665,1.7757616,0.6155901,1.1601715,655730.0,0.00000000013199999,0.74198979,-0.31182837,4.6203446,-2.54968,-2.033427,-1.536224,-0.95687997,-0.76274711,-0.244028,-0.0210161,0.1413243,0.28478569,0.4372173,0.65289289,0.71743089,0.91377908,1.114161,1.373404,1.934696,2.15294,1.6743109,0.57610661,1.0982043,0.69056398,0.62879759,0.59187376,0.5694468,0.54900312,591651.0,-0.000000000517,0.57761848,-0.17412731,4.0909305,-1.866165,-1.424369,-1.076763,-0.70568109,-0.58574629,-0.25342229,-0.074831799,0.066163398,0.1959887,0.3408078,0.54891223,0.60907328,0.79704529,1.006585,1.272966,1.798238,1.994159,1.3147544,0.54290986,0.77184451,569304.0,-0.041504301,0.45150661,-0.77668911,15.95365,-0.22196239,16.817749,-1.795761,-1.222417,-0.7355051,-0.32982159,-0.23626959,-0.080851696,-0.037312299,-0.0110702,0.0123316,0.045616399,0.1393903,0.19188251,0.48325509,0.9044916,1.450765,2.4963429,3.349309,0.52170408,0.20295271,0.31875139,-0.18748343,-0.056448154,-0.016615558,-0.010949817,-0.011025255,442022.0,-0.018569499,0.53655457,-0.16682009,12.58959,-0.0029313557,10.48437,-1.927273,-1.324706,-0.82691473,-0.4179475,-0.3150872,-0.1305434,-0.065703496,-0.0175396,0.034646299,0.1112138,0.2946972,0.3805277,0.73893601,1.2099659,1.804215,2.9048901,3.974673,0.79847521,0.3980673,0.40040791
ITA,1993,All genders,25-55,5.5600009,14.116209,18.658258,23.308315,40.045742,28.056732,25.042183,15.739021,5.0053868,2.9336138,0.779728,0.43205991,0.33439711,-3.3754973,-3.852282,638553.0,9.9134064,0.7843163,-0.31012377,5.0221848,7.3227439,7.7645769,8.261014,8.8867197,9.0767632,9.6793966,9.9130116,10.05277,10.19442,10.35663,10.59358,10.66678,10.90007,11.16577,11.48682,12.09249,12.23948,1.7800608,0.61401081,1.16605,638553.0,0.00000000061700001,0.74501997,-0.32705724,4.5969543,-2.5515261,-2.043195,-1.551108,-0.96885371,-0.77047282,-0.24458361,-0.0165537,0.14776289,0.2897456,0.44120589,0.65089959,0.71399248,0.90561461,1.1093481,1.364049,1.922362,2.171047,1.6828462,0.56622958,1.1166166,0.70458961,0.64943224,0.61210227,0.57916677,0.55963415,583888.0,0.00000000039600001,0.57591522,-0.16276062,4.0564833,-1.848,-1.412537,-1.067504,-0.69891012,-0.58511168,-0.25709939,-0.077342801,0.063019603,0.19454481,0.34009671,0.5505656,0.6116429,0.7996521,1.009979,1.271104,1.795594,2.0164361,1.3105531,0.54862332,0.76192975,561853.0,-0.0140416,0.4417178,-0.4090364,16.26376,-0.072319947,17.790136,-1.694571,-1.1127419,-0.64776993,-0.2696223,-0.18611801,-0.058962699,-0.026484201,-0.0045603001,0.019568499,0.058397401,0.16650429,0.22474881,0.52579463,0.97511017,1.522149,2.5445099,3.2995479,0.49437112,0.22930911,0.265062,-0.19757451,-0.064527944,-0.0243931,-0.018156791,-0.015099577,432918.0,0.0011153,0.55273461,-0.1975328,13.34059,0.023532931,10.442791,-1.900141,-1.317039,-0.85021007,-0.40525341,-0.2999827,-0.1171342,-0.052906699,-0.0036845,0.051196199,0.13251171,0.32751799,0.41724011,0.8073616,1.289961,1.880133,2.958256,4.0294161,0.82249355,0.4209246,0.40156892
